Boroughs,Comp1,Rank1,Comp2,Rank2
Barking and Dagenham,-1.225 ,28 ,1.336 ,4 
Barnet,0.863 ,8 ,-0.016 ,16 
Bexley,0.316 ,14 ,2.212 ,1 
Brent,-0.174 ,22 ,0.184 ,14 
Bromley,0.865 ,7 ,1.024 ,6 
Camden,0.870 ,5 ,-1.209 ,30 
City of London,1.077 ,4 ,-1.387 ,33 
Croydon,-0.004 ,19 ,0.676 ,9 
Ealing,0.064 ,18 ,-0.062 ,18 
Enfield,-0.024 ,20 ,0.569 ,11 
Greenwich,-1.043 ,26 ,0.276 ,13 
Hackney,-1.507 ,32 ,-0.914 ,24 
Hammersmith and Fulham,0.772 ,9 ,-1.284 ,32 
Haringey,-0.641 ,25 ,-0.623 ,22 
Harrow,0.866 ,6 ,1.051 ,5 
Havering,0.437 ,12 ,2.137 ,2 
Hillingdon,0.394 ,13 ,1.411 ,3 
Hounslow,-0.206 ,23 ,0.648 ,10 
Islington,-0.137 ,21 ,-1.284 ,31 
Kensington and Chelsea,2.239 ,1 ,-0.866 ,23 
Kingston upon Thames,0.561 ,10 ,0.110 ,15 
Lambeth,-0.568 ,24 ,-0.995 ,26 
Lewisham,-1.486 ,31 ,-0.283 ,21 
Merton,0.104 ,17 ,-0.025 ,17 
Newham,-2.296 ,33 ,-0.281 ,19 
Redbridge,0.147 ,16 ,0.902 ,7 
Richmond upon Thames,1.220 ,3 ,-0.282 ,20 
Southwark,-1.219 ,27 ,-0.944 ,25 
Sutton,0.316 ,15 ,0.880 ,8 
Tower Hamlets,-1.298 ,29 ,-1.111 ,28 
Waltham Forest,-1.354 ,30 ,0.363 ,12 
Wandsworth,0.540 ,11 ,-1.149 ,29 
Westminster,1.532 ,2 ,-1.064 ,27 
